"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"170","Key Arena / 1st Ave N & Harrison St","2nd Ave & Vine St","SLU-19","BT-03",181,47.622277,-122.35523,47.615829,-122.348564
"171","1st Ave & Marion St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","CBD-05","PS-05",180,47.604058,-122.3358,47.598994,-122.329684
"172","6th Ave S & S King St","City Hall / 4th Ave & James St","ID-04","CBD-07",180,47.598488,-122.326412,47.603509,-122.330409
"173","Dexter Ave & Denny Way","E Blaine St & Fairview Ave E","SLU-18","EL-03",180,47.618285,-122.342205,47.634831,-122.326634
"174","UW Engineering Library / E Stevens Way NE & Jefferson Rd","15th Ave NE & NE 40th St","UW-06","UW-04",179,47.654613,-122.304863,47.65559,-122.31189
"175","1st Ave & Marion St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","CBD-05","WF-04",178,47.604058,-122.3358,47.607702,-122.34165
"176","Lake Union Park / Valley St & Boren Ave N","3rd Ave & Broad St","SLU-17","BT-01",178,47.626041,-122.335831,47.618418,-122.350964
"177","NE 47th St & 12th Ave NE","12th Ave & NE Campus Pkwy","UD-07","UD-04",178,47.663143,-122.315086,47.656395,-122.31562
"178","PATH / 9th Ave & Westlake Ave","2nd Ave & Vine St","SLU-07","BT-03",178,47.61832,-122.338913,47.615829,-122.348564
"179","Republican St & Westlake Ave N","PATH / 9th Ave & Westlake Ave","SLU-04","SLU-07",177,47.623165,-122.338203,47.61832,-122.338913
"180","1st Ave & Marion St","Occidental Park / Occidental Ave S & S Washington St","CBD-05","PS-04",176,47.604058,-122.3358,47.600757,-122.332946
"181","2nd Ave & Pine St","2nd Ave & Spring St","CBD-13","CBD-06",176,47.610185,-122.339641,47.60595,-122.335768
"182","Bellevue Ave & E Pine St","2nd Ave & Pine St","CH-12","CBD-13",176,47.615456,-122.326729,47.610185,-122.339641
"183","2nd Ave & Vine St","3rd Ave & Broad St","BT-03","BT-01",175,47.615829,-122.348564,47.618418,-122.350964
"184","Dexter Ave & Denny Way","Republican St & Westlake Ave N","SLU-18","SLU-04",175,47.618285,-122.342205,47.623165,-122.338203
"185","REI / Yale Ave N & John St","7th Ave & Union St","SLU-01","CBD-03",175,47.619859,-122.330304,47.610731,-122.332447
"186","7th Ave & Union St","REI / Yale Ave N & John St","CBD-03","SLU-01",174,47.610731,-122.332447,47.619859,-122.330304
"187","Cal Anderson Park / 11th Ave & Pine St","6th Ave S & S King St","CH-08","ID-04",174,47.615486,-122.318245,47.598488,-122.326412
"188","E Blaine St & Fairview Ave E","Dexter Ave N & Aloha St","EL-03","SLU-02",174,47.634831,-122.326634,47.627735,-122.342232
"189","PATH / 9th Ave & Westlake Ave","Republican St & Westlake Ave N","SLU-07","SLU-04",174,47.61832,-122.338913,47.623165,-122.338203
"190","2nd Ave & Blanchard St","Summit Ave & E Denny Way","BT-05","CH-01",173,47.61311,-122.344208,47.618633,-122.325249
"191","Cal Anderson Park / 11th Ave & Pine St","7th Ave & Union St","CH-08","CBD-03",173,47.615486,-122.318245,47.610731,-122.332447
"192","Dexter Ave N & Aloha St","9th Ave N & Mercer St","SLU-02","DPD-01",173,47.627735,-122.342232,47.624298,-122.339617
"193","7th Ave & Union St","Occidental Park / Occidental Ave S & S Washington St","CBD-03","PS-04",172,47.610731,-122.332447,47.600757,-122.332946
"194","1st Ave & Marion St","6th Ave & Blanchard St","CBD-05","BT-04",171,47.604058,-122.3358,47.616094,-122.341102
"195","Westlake Ave & 6th Ave","2nd Ave & Spring St","SLU-15","CBD-06",171,47.613628,-122.337341,47.60595,-122.335768
